Date,MSFT Adj Close,KO Adj Close,S&P500 Adj Close
8/1/12,26.723654,31.83547,1406.579956
9/1/12,25.975487,32.28661,1440.670044
10/1/12,24.910635,31.863319,1412.160034
11/1/12,23.234793,32.497494,1416.180054
12/1/12,23.504921,31.279457,1426.189941
1/1/13,24.156122,32.133713,1498.109985
2/1/13,24.464123,33.41077,1514.680054
3/1/13,25.385376,34.894943,1569.189941
4/1/13,29.369312,36.790195,1597.569946
5/1/13,30.966436,34.756428,1630.73999
6/1/13,30.861908,34.860733,1606.280029
7/1/13,28.44943,35.075428,1685.72998
8/1/13,29.843309,33.412659,1632.969971
9/1/13,29.94562,33.150127,1681.550049
10/1/13,31.862221,34.880955,1756.540039
11/1/13,34.309704,35.42749,1805.810059
12/1/13,33.917126,36.669861,1848.359985
1/1/14,34.30698,33.571869,1782.589966
2/1/14,34.733093,33.909191,1859.449951
3/1/14,37.441544,34.317524,1872.339966
4/1/14,36.902618,36.495155,1883.949951
5/1/14,37.39587,36.602516,1923.569946
6/1/14,38.358791,37.899837,1960.22998
7/1/14,39.701805,35.417461,1930.670044
8/1/14,41.789921,37.60796,2003.369995
9/1/14,42.911755,38.455299,1972.290039
10/1/14,43.457882,38.027222,2018.050049
11/1/14,44.253918,40.70583,2067.560059
12/1/14,43.266247,38.600925,2058.899902
1/1/15,37.63092,37.64093,1994.98999
2/1/15,40.844452,39.588345,2104.5
3/1/15,38.142635,37.074085,2067.889893
4/1/15,45.628563,37.390926,2085.51001
5/1/15,43.958771,37.759674,2107.389893
6/1/15,41.685722,36.164845,2063.110107
7/1/15,44.093388,38.182732,2103.840088
8/1/15,41.090885,36.546852,1972.180054
9/1/15,42.065155,37.290428,1920.030029
10/1/15,50.029591,39.704189,2079.360107
11/1/15,51.654785,39.957314,2080.409912
12/1/15,53.084164,40.584953,2043.939941
1/1/16,52.711006,40.547157,1940.23999
2/1/16,48.682812,40.745556,1932.22998
3/1/16,53.224377,43.825321,2059.73999
4/1/16,48.059025,42.653294,2065.300049
5/1/16,51.075367,42.462875,2096.949951
6/1/16,49.656723,43.157894,2098.860107
7/1/16,55.003773,41.857906,2173.600098
8/1/16,55.760704,41.666027,2170.949951
9/1/16,56.244946,40.601112,2168.27002
10/1/16,58.510365,41.010204,2126.149902
11/1/16,58.842373,39.027393,2198.810059
12/1/16,61.088055,40.966747,2238.830078
1/1/17,63.555569,40.547321,2278.870117
2/1/17,62.896912,40.927727,2363.639893
3/1/17,65.137604,41.39592,2362.719971
4/1/17,67.709076,42.459942,2384.199951
5/1/17,69.073936,44.74284,2411.800049
6/1/17,68.564697,44.132755,2423.409912
7/1/17,72.314713,45.47813,2470.300049
8/1/17,74.373741,45.190422,2471.649902
